City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
Aklavik,90,CA,1584160798,67,68.22,-135.01,23.0,2.24
Kavieng,8,PG,1584160401,76,-2.57,150.8,83.89,15.12
Punta Arenas,78,CL,1584160585,66,-53.15,-70.92,50.0,19.46
Padang,38,ID,1584160798,73,-0.95,100.35,82.18,1.97
Nanortalik,100,GL,1584160668,72,60.14,-45.24,23.16,15.68
Marawi,92,PH,1584160798,76,8.0,124.29,82.0,10.0
Inhambane,40,MZ,1584160575,94,-23.86,35.38,75.2,4.05
Rikitea,19,PF,1584160615,76,-23.12,-134.97,77.04,10.49
Labuan,75,MY,1584160799,66,5.28,115.24,91.4,4.7
Saint George,90,US,1584160613,93,37.1,-113.58,48.99,3.36
Alugan,43,PH,1584160799,68,12.22,125.48,81.7,9.17
Ostrovnoy,100,RU,1584160799,75,68.05,39.51,21.33,16.82
Mahébourg,75,MU,1584160799,94,-20.41,57.7,82.99,2.24
Atuona,51,PF,1584160770,68,-9.8,-139.03,82.47,10.47
Rognan,40,NO,1584160800,74,67.1,15.39,28.4,12.75
Gulmarg,100,IN,1584160800,80,34.05,74.39,37.24,3.69
Bariloche,20,AR,1584160800,89,-41.15,-71.31,48.2,18.34
Cape Town,75,ZA,1584160523,93,-33.93,18.42,60.01,9.17
Walvis Bay,0,NA,1584160389,100,-22.96,14.51,61.0,3.36
Bambanglipuro,97,ID,1584160800,61,-7.95,110.28,87.93,7.14
Plettenberg Bay,12,ZA,1584160595,87,-34.05,23.37,66.83,3.65
Vostok,99,RU,1584160523,80,46.49,135.88,21.6,8.57
Gopālpur,1,IN,1584160800,34,19.27,84.92,92.52,8.88
Tangier,90,MA,1584160801,100,35.78,-5.81,60.8,4.7
Saint-Philippe,75,RE,1584160721,83,-21.36,55.77,81.0,17.22
Hasaki,75,JP,1584160782,93,35.73,140.83,41.0,17.22
Hambantota,0,LK,1584160801,66,6.12,81.12,87.8,8.05
Lüderitz,0,NA,1584160739,82,-26.65,15.16,64.4,11.41
Almaznyy,100,RU,1584160801,86,48.04,40.05,41.0,2.24
Avarua,4,CK,1584160775,70,-21.21,-159.78,84.2,3.36
Pevek,100,RU,1584160801,97,69.7,170.31,-4.9,0.78
Longyearbyen,40,SJ,1584160802,58,78.22,15.64,-5.8,16.11
Tandil,33,AR,1584160666,90,-37.32,-59.13,75.0,1.99
Cherusti,27,RU,1584160802,82,55.55,40.01,36.28,8.81
Bambous Virieux,75,MU,1584160802,94,-20.34,57.76,82.99,2.24
Salalah,40,OM,1584160802,60,17.02,54.09,73.4,4.7
Prince George,1,CA,1584160752,49,53.92,-122.75,3.99,21.92
Katsuura,75,JP,1584160802,93,35.13,140.3,41.0,19.46
Souillac,75,MU,1584160802,94,-20.52,57.52,82.99,2.24
New Norfolk,75,AU,1584160802,47,-42.78,147.06,62.01,13.87
Mogadishu,40,SO,1584160535,74,2.04,45.34,80.6,8.05
Mersing,40,MY,1584160803,70,2.43,103.84,89.6,5.82
Ushuaia,40,AR,1584160543,91,-54.8,-68.3,53.6,13.87
Arraial do Cabo,0,BR,1584160803,85,-22.97,-42.03,77.09,9.98
Jamestown,1,US,1584160803,69,42.1,-79.24,37.0,13.87
Kapaa,75,US,1584160803,64,22.08,-159.32,75.2,10.29
Antofagasta,75,CL,1584160504,88,-23.65,-70.4,64.4,9.17
Butaritari,88,KI,1584160776,70,3.07,172.79,83.88,9.37
Bluff,53,NZ,1584160773,67,-46.6,168.33,58.75,6.2
Guerrero Negro,0,MX,1584160803,78,27.98,-114.06,61.77,7.47
Mataura,6,NZ,1584160804,76,-46.19,168.86,61.41,4.68
Hidrolândia,100,BR,1584160804,97,-4.41,-40.44,70.88,1.3
Albany,1,US,1584160724,51,42.6,-73.97,41.0,14.99
Nome,100,US,1584160772,97,64.5,-165.41,26.65,6.49
Bredasdorp,28,ZA,1584160719,87,-34.53,20.04,57.2,1.12
Sol'-Iletsk,100,RU,1584160804,97,51.16,54.99,37.4,9.31
Saskylakh,67,RU,1584160804,87,71.92,114.08,-9.31,23.13
Lorengau,0,PG,1584160805,75,-2.02,147.27,84.76,14.52
Coquimbo,20,CL,1584160805,93,-29.95,-71.34,60.8,4.7
Syracuse,91,IT,1584160750,81,37.09,15.28,57.0,4.7
Udachny,23,RU,1584160805,70,66.42,112.4,-5.8,8.95
Sembabule,77,UG,1584160805,81,-0.08,31.46,69.13,3.4
Harrison,1,US,1584160805,88,30.41,-89.04,69.8,5.82
Patea,0,NZ,1584160805,69,-39.76,174.48,68.0,8.99
Ariquemes,92,BR,1584160805,93,-9.91,-63.04,74.77,1.54
Mongo,83,TD,1584160806,19,12.18,18.69,63.88,5.88
Faanui,89,PF,1584160806,79,-16.48,-151.75,83.1,16.02
Zhanakorgan,35,KZ,1584160806,40,43.91,67.25,53.69,9.28
George Town,20,MY,1584160625,66,5.41,100.34,91.4,5.82
Qom,100,IR,1584160806,22,34.64,50.88,62.78,4.88
Mar del Plata,21,AR,1584160725,83,-38.0,-57.56,71.6,11.41
Makakilo City,90,US,1584160806,78,21.35,-158.09,75.2,6.93
Carnarvon,0,AU,1584160806,70,-24.87,113.63,84.2,12.75
Khatanga,100,RU,1584160723,94,71.97,102.5,6.49,12.75
Willmar,1,US,1584160806,68,45.12,-95.04,26.6,14.99
Barra de Tecoanapa,0,MX,1584160807,88,16.52,-98.75,72.64,2.84
Vuktyl,100,RU,1584160807,99,63.86,57.31,31.98,10.11
Cherskiy,100,RU,1584160724,95,68.75,161.3,-10.88,6.31
Elko,1,US,1584160614,35,41.0,-115.5,46.0,7.58
Busselton,100,AU,1584160779,29,-33.65,115.33,84.0,16.87
Sun Valley,40,US,1584160807,42,39.6,-119.78,53.6,21.92
Pangnirtung,100,CA,1584160807,97,66.15,-65.71,-30.62,0.47
Yellowknife,5,CA,1584160783,75,62.46,-114.35,-18.0,6.93
Hermanus,8,ZA,1584160807,95,-34.42,19.23,59.0,4.0
Simao,0,CN,1584160217,18,22.79,100.97,85.39,7.49
Chokurdakh,100,RU,1584160808,96,70.63,147.92,-14.91,8.99
Tabou,18,CI,1584160678,96,4.42,-7.35,76.77,2.59
Qaqortoq,100,GL,1584160808,79,60.72,-46.03,19.4,11.45
Airai,17,TL,1584160808,53,-8.93,125.41,81.36,6.15
Taldan,98,RU,1584160808,73,53.67,124.8,10.8,11.79
Norman Wells,75,CA,1584160808,66,65.28,-126.83,10.4,2.24
Portland,90,US,1584160682,80,45.52,-122.68,39.99,3.44
Thompson,40,CA,1584160808,53,55.74,-97.86,-4.0,5.82
Raudeberg,99,NO,1584160805,64,61.99,5.14,33.8,16.11
Kahului,90,US,1584160809,78,20.89,-156.47,73.4,5.82
Paraty,11,BR,1584160809,88,-23.22,-44.71,70.54,3.38
Zvishavane,31,ZW,1584160809,68,-20.33,30.07,73.96,2.44
Tilichiki,81,RU,1584160809,87,60.47,166.1,19.29,12.44
Kloulklubed,75,PW,1584160134,66,7.04,134.26,86.0,9.17
Puerto Ayora,62,EC,1584160809,84,-0.74,-90.35,78.01,1.99
Cesvaine,100,LV,1584160809,76,56.97,26.32,28.71,10.27
Visby,17,SE,1584160809,54,57.64,18.3,28.4,20.8
Mossamedes,92,AO,1584160672,72,-15.2,12.15,75.61,5.17
Lebu,4,CL,1584160781,93,-37.62,-73.65,47.19,4.7
Namtsy,75,RU,1584160810,64,62.72,129.67,1.4,2.24
Touros,75,BR,1584160810,100,-5.2,-35.46,75.2,6.93
Baturaja,100,ID,1584160810,61,-4.13,104.17,89.06,4.56
Hilo,90,US,1584160698,83,19.73,-155.09,75.0,14.99
Barrow,90,US,1584160773,85,71.29,-156.79,24.8,34.45
Yeppoon,0,AU,1584160562,37,-23.13,150.73,86.0,13.87
Kavaratti,40,IN,1584160714,66,10.57,72.64,84.2,4.7
Inta,100,RU,1584160811,97,66.03,60.17,27.59,12.53
Port Elizabeth,90,ZA,1584160811,100,-33.92,25.57,62.6,13.87
Codrington,90,AU,1584160228,66,-38.27,141.97,57.58,15.59
Vaini,90,TO,1584160714,100,-21.2,-175.2,75.2,18.34
Qaanaaq,0,GL,1584160711,58,77.48,-69.36,-22.0,5.57
Hong Kong,27,HK,1584160631,53,22.29,114.16,78.01,3.36
Bridlington,78,GB,1584160811,93,54.08,-0.19,42.01,8.05
Port Alfred,1,ZA,1584160775,97,-33.59,26.89,64.99,5.01
Provideniya,100,RU,1584160811,98,64.38,-173.3,27.77,4.74
Kruisfontein,7,ZA,1584160811,82,-34.0,24.73,67.33,8.16
Talnakh,75,RU,1584160724,95,69.49,88.4,32.0,29.08
Novy Urengoy,100,RU,1584160812,97,66.08,76.63,32.83,23.42
Buala,85,SB,1584160751,82,-8.14,159.59,82.42,12.5
Paita,65,PE,1584160619,68,-5.09,-81.11,78.91,5.57
Ouadda,63,CF,1584160812,24,8.08,22.4,73.89,3.31
Dikson,100,RU,1584160812,96,73.51,80.55,30.06,17.25
Ous,100,RU,1584160812,78,60.91,61.52,37.85,11.39
Severo-Kuril'sk,75,RU,1584160780,82,50.68,156.12,17.62,26.19
Bongandanga,100,CD,1584160812,84,1.5,21.05,74.7,3.0
Port Elgin,75,CA,1584160813,93,46.05,-64.09,44.01,12.75
Vega de Alatorre,0,MX,1584160813,78,20.03,-96.63,75.33,13.0
Arman',100,RU,1584160813,81,59.7,150.17,16.07,14.03
Dandong,0,CN,1584160813,29,40.13,124.39,46.69,8.68
Saint-Pierre,75,RE,1584160813,83,-21.34,55.48,81.0,17.22
